,總樓層數,主要建材,建築完成年月,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,交易筆棟數-土地,交易筆棟數-建物,交易筆棟數-車位,交易年份,單價元/坪,土地移轉總面積坪,建物移轉總面積坪,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_套房(1房1廳1衛),建物型態_華廈(10層含以下有電梯),建物型態_透天厝
0,4.0,4,35,4,0,4,0,1,1,0,108,333409.23076923075,125.3846153846154,336.4923076923077,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,5.0,4,41,3,2,2,0,2,1,0,108,281203.07692307694,104.03076923076924,336.67692307692306,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2,11.0,4,26,3,2,2,1,1,1,1,108,395129.2307692308,99.04615384615386,503.1692307692308,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
3,10.0,4,2,3,2,3,1,1,1,0,108,1009716.923076923,185.38461538461542,630.1230769230768,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
4,12.0,4,3,2,1,1,1,2,1,0,108,633076.923076923,32.769230769230774,272.9230769230769,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,10.0,4,2,3,2,2,1,1,1,1,108,501433.84615384607,52.276923076923076,247.1076923076923,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
6,4.0,3,52,3,2,1,0,1,1,0,108,499080.0,110.0,299.72307692307686,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,5.0,4,38,3,2,2,0,7,1,0,108,283815.3846153846,79.93846153846154,266.86153846153843,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
8,10.0,4,27,3,2,2,0,2,1,0,108,499941.53846153844,76.0,490.09230769230766,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
9,4.0,4,48,3,2,2,0,1,1,0,108,367812.30769230775,113.07692307692308,283.1384615384615,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
10,11.0,4,23,2,2,1,1,2,1,0,108,611332.3076923076,44.98461538461538,289.6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
11,5.0,4,37,0,1,1,0,3,1,0,108,605578.4615384615,93.6,328.3076923076923,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
12,6.0,4,49,0,0,0,1,2,1,0,108,459876.9230769231,56.39999999999999,267.63076923076926,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
13,14.0,4,4,4,2,1,1,1,1,2,108,679769.2307692308,55.2,837.0769230769229,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
14,13.0,4,23,3,2,2,1,1,1,1,108,347086.1538461538,113.72307692307692,499.1692307692308,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
15,13.0,4,2,1,1,1,1,1,1,0,105,1009178.4615384616,17.046153846153846,176.36923076923077,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,13.0,4,2,1,1,1,1,1,1,1,108,1046760.0,17.353846153846153,235.6307692307692,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,13.0,4,2,2,1,1,1,1,1,0,108,1112587.6923076923,22.21538461538461,229.75384615384613,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,7.0,4,49,3,2,1,0,3,1,0,108,424612.30769230775,69.87692307692308,312.15384615384613,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
19,15.0,4,6,2,2,2,1,1,1,1,108,556190.7692307692,29.87692307692308,476.6153846153846,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
20,12.0,4,14,2,1,1,1,1,1,0,108,587092.3076923076,35.692307692307686,160.61538461538458,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
21,7.0,4,35,1,1,1,0,1,1,0,108,449772.30769230775,46.646153846153844,254.2769230769231,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,5.0,4,24,3,2,2,1,1,1,1,108,557012.3076923076,224.4307692307692,538.4615384615385,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
23,14.0,4,23,2,2,1,1,1,1,1,108,537510.7692307692,49.07692307692307,295.9076923076923,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
24,12.0,4,21,2,2,2,1,1,1,1,108,494809.2307692308,144.8923076923077,478.33846153846144,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,5.0,4,37,3,2,2,0,1,1,0,108,466409.2307692308,71.5076923076923,276.06153846153853,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
26,4.0,3,35,2,2,1,0,1,1,0,108,624292.3076923076,86.92307692307692,280.55384615384617,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,10.0,4,4,0,0,0,1,1,1,1,108,761378.4615384616,48.338461538461544,487.10769230769233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,4.0,4,47,0,0,0,0,1,1,0,108,367735.3846153846,27.6,103.75384615384615,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29,5.0,4,35,3,2,1,0,1,1,1,108,253772.3076923077,84.73846153846154,317.1076923076924,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
