,土地區段位置建物區段門牌,土地移轉總面積平方公尺,總樓層數,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,單價元平方公尺,編號,交易筆棟數-土地,交易筆棟數-建物,交易筆棟數-車位,交易年份,單價元/坪,土地移轉總面積坪,建物移轉總面積坪,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_套房(1房1廳1衛),建物型態_華廈(10層含以下有電梯),建物型態_透天厝,土地區段位置建物區段門牌經度,土地區段位置建物區段門牌緯度,周邊機能-機場,周邊機能-銀行,周邊機能-便利商店,周邊機能-醫院,周邊機能-公園,周邊機能-停車場,周邊機能-國小,周邊機能-國中,周邊機能-捷運,周邊機能-殯儀館
0,臺北市中山區林森北路107巷61~90號,15.16,7.0,4,35,82.64,1,1,1,0,12080000,146176,RPSNMLMKJIOFFCA57CA,1,1,0,108,449772.3076923077,46.646153846153844,254.27692307692308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25.0499592,121.5271009,1,20,20,8,9,20,1,2,0,0
1,臺北市中山區敬業三路162巷31~60號,47.09,12.0,4,21,155.45999999999998,2,2,2,1,25000000,160813,RPTNMLOKJIOFFCA87CA,1,1,1,108,494809.23076923075,144.8923076923077,478.33846153846144,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.079056,121.557962,0,3,6,2,9,12,2,1,0,0
2,臺北市中山區長春路181~210號,28.25,4.0,3,35,91.18,2,2,1,0,18500000,202895,RPPPMLSKJIOFFCA08CA,1,1,0,108,624292.3076923076,86.92307692307692,280.55384615384617,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.054863,121.537651,1,20,20,6,14,20,2,2,0,0
3,臺北市中山區中山北路ㄧ段105巷1~30號,15.71,10.0,4,4,158.31,0,0,0,1,29600000,247448,RPQNMLKLJIOFFCA27CA,1,1,1,108,761378.4615384615,48.33846153846154,487.1076923076923,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25.050986,121.522477,0,20,20,7,9,20,0,2,1,0
4,臺北市中山區林森北路416巷1~30號,8.97,4.0,4,47,33.72,0,0,0,0,4030000,119514,RPSPMLMLJIOFFCA87CA,1,1,0,108,367735.3846153846,27.6,103.75384615384614,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.059956,121.5248924,0,20,20,20,11,20,2,1,2,1
5,臺北市中山區民權東路二段92巷2弄1~30號,88.0,3.0,3,35,220.5,6,6,3,0,42700000,193651,RPXPMLTLJIOFFCA09CA,1,1,0,108,595849.2307692308,270.7692307692308,678.4615384615385,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25.0616449,121.5316792,0,18,20,12,10,20,0,0,1,18
6,臺北市中山區建國北路一段31~60號,6.12,14.0,4,14,57.150000000000006,1,1,1,1,9600000,167979,RPPSMLNJKIOFFCA87CA,1,1,1,108,516858.4615384615,18.83076923076923,175.84615384615387,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.047585,121.5370531,0,20,15,11,8,20,1,1,0,0
7,臺北市中山區撫順街31~60號,10.97,9.0,4,31,84.45,2,1,1,1,13500000,159858,RPQPMLPJKIOFFCA87CA,1,1,0,108,491870.7692307692,33.753846153846155,259.84615384615387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25.0635542,121.5200727,0,20,20,14,11,20,3,3,1,0
8,臺北市中山區新生北路三段61~90號,5.25,10.0,4,41,45.04,1,1,1,1,6800000,150977,RPROMLLMKIOFFCA77CA,1,1,0,108,464544.6153846154,16.153846153846153,138.58461538461538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25.0659966,121.5280981,0,12,20,14,14,20,2,1,1,1
9,臺北市中山區敬業三路162巷61~90號,47.09,12.0,4,21,155.26999999999998,3,2,2,0,24100000,155213,RPPNMLMKJIOFFCA37DA,1,1,1,108,477578.4615384615,144.8923076923077,477.7538461538461,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0783319,121.5589955,0,3,7,2,10,10,2,1,0,0
10,臺北市中山區長安東路二段151~180號,6.37,14.0,4,20,81.84,1,1,1,1,17280000,211144,RPOQMLOKJIOFFCA77DA,1,1,1,108,649673.8461538461,19.6,251.81538461538463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25.0489552,121.5387279,0,20,19,12,9,20,1,1,0,0
11,臺北市中山區雙城街18巷1~30號,4.96,13.0,4,15,41.86,0,0,1,1,8150000,194697,RPPOMLLLJIOFFCA37CA,1,1,0,108,599067.6923076923,15.26153846153846,128.79999999999998,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.065481,121.5239913,0,20,20,17,9,20,2,2,1,1
12,臺北市中山區中山北路一段53巷1~30號,5.73,12.0,4,13,75.97,1,1,1,1,9850000,129656,RPWOMLNKJIOFFCA18CA,1,1,2,108,398941.53846153844,17.630769230769232,233.75384615384615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25.049378,121.5219264,0,20,20,9,5,20,0,3,1,0
13,臺北市中山區中山北路二段59巷1~30號,6.0,6.0,4,43,27.56,1,0,1,0,5500000,199565,RPXQMLNKJIOFFCA48CA,4,1,0,108,614046.1538461539,18.46153846153846,84.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25.0559648,121.5232067,0,20,20,18,11,20,0,0,2,1
14,臺北市中山區農安街227巷9弄1~30號,30.25,5.0,4,35,113.94,3,2,1,0,13000000,114095,RPVNMLSKJIOFFCA48CA,1,1,0,108,351061.53846153844,93.07692307692308,350.58461538461535,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.065666,121.533972,0,4,17,2,7,20,0,0,0,20
15,臺北市中山區農安街77巷9弄31~60號,25.33,3.0,3,53,58.78,2,1,1,0,8300000,141204,RPPNMLLLJIOFFCA27CA,1,1,0,108,434473.8461538461,77.93846153846152,180.86153846153846,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.066298,121.5293781,0,10,20,10,11,16,2,0,1,2
