,土地區段位置建物區段門牌,土地移轉總面積平方公尺,總樓層數,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,單價元平方公尺,編號,交易筆棟數-土地,交易筆棟數-建物,交易筆棟數-車位,交易年份,單價元/坪,土地移轉總面積坪,建物移轉總面積坪,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_套房(1房1廳1衛),建物型態_華廈(10層含以下有電梯),建物型態_透天厝,土地區段位置建物區段門牌經度,土地區段位置建物區段門牌緯度,周邊機能-機場,周邊機能-銀行,周邊機能-便利商店,周邊機能-醫院,周邊機能-公園,周邊機能-停車場,周邊機能-國小,周邊機能-國中,周邊機能-捷運,周邊機能-殯儀館
0,臺北市信義區忠孝東路五段71巷12弄1~30號,11.42,7.0,4,12,50.53,1,1,1,1,13300000,263210,RPPNMLMKJIOFFDA37CA,1,1,0,108,809876.923076923,35.138461538461534,155.47692307692307,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25.0419602,121.5669729,1,20,20,7,5,20,0,3,1,1
1,臺北市信義區虎林街56巷1~30號,31.0,4.0,4,35,63.09,3,1,1,0,10480000,166112,RPPNMLNKJIOFFDA47CA,2,1,0,108,511113.8461538461,95.38461538461539,194.12307692307692,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.046634,121.576834,0,20,20,3,15,17,3,1,1,2
2,臺北市信義區忠孝東路五段743巷31弄1~30號,11.98,16.0,4,3,111.37,2,1,1,1,26800000,310928,RPSOMLNKJIOFFDA87CA,1,1,1,108,956701.5384615384,36.86153846153846,342.67692307692306,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0443326,121.5810019,0,20,20,9,15,16,4,1,1,0
3,臺北市信義區信義路六段31~60號,25.3,7.0,4,34,131.75,3,2,2,0,23850000,181025,RPUOMLRLJIOFFDA68DA,1,1,0,108,557000.0,77.84615384615384,405.38461538461536,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25.034739,121.575912,0,7,16,3,11,9,1,3,1,0
4,臺北市信義區虎林街50巷1~30號,31.25,4.0,4,44,88.49,3,2,2,0,19500000,220364,RPPOMLNKJIOFFDA57CA,1,1,0,108,678043.0769230769,96.15384615384615,272.276923076923,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.046779,121.576742,0,20,20,3,16,19,3,1,1,2
5,臺北市信義區和平東路三段391巷8弄1~30號,18.25,4.0,4,35,45.84,1,1,1,0,7000000,152705,RPSQMLMKJIOFFDA97CA,1,1,0,108,469861.53846153844,56.15384615384615,141.04615384615386,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.020636,121.557174,1,4,13,1,7,5,0,0,1,1
6,臺北市信義區忠孝東路五段790巷61~90號,24.75,4.0,4,43,82.58,3,2,2,0,11000000,133204,RPQQMLNKJIOFFDA87CA,1,1,0,108,409858.4615384615,76.15384615384615,254.09230769230768,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.0400768,121.5839132,0,6,15,5,6,5,2,3,0,0
7,臺北市信義區吳興街600巷72弄1~30號,25.99,5.0,4,34,108.39,3,2,2,0,12800000,118092,RPSQMLNKJIOFFDA08CA,2,1,0,108,363360.0,79.96923076923076,333.5076923076923,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.0190722,121.5704235,0,0,3,0,1,0,0,0,0,0
8,臺北市信義區逸仙路42巷1~30號,7.76,7.0,4,25,32.839999999999996,1,1,1,1,10800000,328867,RPXPMLMLJIOFFDA48CA,2,1,0,108,1011898.4615384615,23.876923076923074,101.04615384615383,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25.0403183,121.5619026,1,20,15,5,7,20,1,4,2,0
9,臺北市信義區青雲街31~60號,322.0,3.0,4,35,327.06,7,3,5,1,68000000,207913,RPVQMLOKJIOFFDA58DA,1,1,1,108,639732.3076923076,990.7692307692307,1006.3384615384615,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25.0189429,121.577297,0,0,0,0,0,0,0,0,0,0
10,臺北市信義區大道路91~120號,19.83,4.0,4,35,70.06,4,0,4,0,13000000,185555,RPXNMLSLJIOFFDA98DA,1,1,0,108,570938.4615384615,61.015384615384605,215.56923076923076,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.0402821,121.582864,0,14,17,6,8,6,3,3,0,0
11,臺北市信義區永吉路151~180號,18.71,11.0,4,24,158.02,2,2,2,0,32500000,205670,RPOPMLQJKIOFFDA87CA,2,1,1,108,632830.7692307692,57.56923076923077,486.2153846153846,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0458173,121.5709304,0,9,17,2,15,11,2,1,0,0
12,臺北市信義區基隆路一段121~150號,13.56,12.0,4,40,136.12,3,2,2,0,26500000,194681,RPSOMLMKKIOFFDA87CA,1,1,0,108,599018.4615384615,41.723076923076924,418.83076923076925,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0447694,121.566965,1,19,20,6,6,17,1,3,1,1
13,臺北市信義區吳興街269巷1~30號,35.0,4.0,4,46,105.45,3,2,2,0,12000000,113798,RPXNMLPKJIOFFDA48CA,1,1,0,108,350147.6923076923,107.6923076923077,324.46153846153845,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.0270092,121.5641373,0,8,19,20,9,17,2,1,0,0
14,臺北市信義區永吉路278巷1弄1~30號,15.0,5.0,4,35,44.06,1,2,1,0,9320000,211530,RPVPMLTKJIOFFDA88CA,1,1,0,108,650861.5384615385,46.15384615384615,135.56923076923078,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.045071,121.574291,0,20,20,5,15,8,1,1,1,2
15,臺北市信義區忠孝東路五段71巷12弄1~30號,9.96,7.0,4,12,44.08,1,1,1,1,11997000,272164,RPVOMLQJKIOFFDA48CA,1,1,0,108,837427.6923076923,30.646153846153847,135.63076923076923,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25.0419602,121.5669729,1,20,20,7,5,20,0,3,1,1
16,臺北市信義區永吉路180巷66弄1~30號,29.6,5.0,4,42,103.02,3,2,2,0,20500000,198990,RPRPMLSLJIOFFDA58DA,1,1,0,108,612276.923076923,91.07692307692308,316.9846153846154,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.0435974,121.5713529,0,11,20,5,13,12,3,0,0,0
17,臺北市信義區吳興街284巷1~30號,13.4,5.0,4,38,62.19,2,1,1,0,9500000,152758,RPPPMLNJKIOFFDA67CA,1,1,0,108,470024.6153846154,41.23076923076923,191.35384615384615,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.0258389,121.564197,0,7,17,20,6,16,1,0,0,0
18,臺北市信義區基隆路一段121~150號,6.3,13.0,4,15,54.38,1,2,1,1,16550000,304340,RPQQMLOJKIOFFDA97CA,2,1,0,108,936430.7692307692,19.384615384615383,167.3230769230769,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0447694,121.566965,1,19,20,6,6,17,1,3,1,1
19,臺北市信義區永吉路421~450號,35.58,3.0,3,51,92.59,2,2,1,0,16000000,172805,RPQOMLRKKIOFFDA18CA,1,1,0,108,531707.6923076923,109.47692307692307,284.89230769230767,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.045628,121.5774,0,20,20,4,16,17,3,1,1,2
20,臺北市信義區忠孝東路五段790巷20弄1~30號,34.5,4.0,4,35,98.41,3,2,2,0,8100000,82309,RPPOMLMJKIOFFDA47CA,1,1,0,108,253258.46153846153,106.15384615384615,302.79999999999995,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.04289,121.582068,0,17,19,7,12,16,3,1,1,0
21,臺北市信義區吳興街284巷28弄31~60號,26.8,5.0,4,43,91.4,3,2,1,0,12000000,131291,RPWPMLRLJIOFFDA88CA,1,1,0,108,403972.3076923077,82.46153846153847,281.2307692307692,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.0227434,121.5619157,0,1,5,17,6,9,0,0,0,1
22,臺北市信義區忠孝東路五段361~390號,5.63,11.0,4,16,40.06,1,1,1,1,14400000,359461,RPXPMLRLJIOFFDA98CA,3,1,0,108,1106033.846153846,17.323076923076922,123.26153846153846,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.041056,121.5745966,0,16,20,8,15,6,2,0,1,0
23,臺北市信義區虎林街232巷1~30號,32.5,4.0,4,51,88.77,3,2,1,0,11000000,123916,RPXOMLMLJIOFFDA38CA,1,1,0,108,381280.0,100.0,273.1384615384615,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.0367912,121.5774159,0,12,19,3,9,5,2,2,1,0
24,臺北市信義區和平東路三段151~180號,9.1,14.0,4,13,45.09,0,0,0,1,9200000,204036,RPQQMLMLJIOFFDA87CA,2,1,0,108,627803.0769230769,27.999999999999996,138.73846153846154,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25.0247582,121.5528162,2,19,19,5,8,15,0,0,1,0
25,臺北市信義區吳興街600巷31~60號,51.76,15.0,4,28,297.39,3,2,2,0,12000000,40351,RPVNMLMLJIOFFDA08CA,1,2,1,108,124156.92307692308,159.26153846153846,915.0461538461537,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25.020885,121.569676,0,1,5,0,4,5,0,0,0,0
26,臺北市信義區紫雲街1~30號,37.04,6.0,4,41,123.92999999999999,3,2,2,1,23750000,191640,RPWPMLPLJIOFFDA68CA,1,1,0,108,589661.5384615385,113.96923076923076,381.3230769230769,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25.0181292,121.5746164,0,0,1,0,2,0,0,0,0,0
27,臺北市信義區吳興街600巷76弄1~30號,26.15,9.0,4,4,190.7,3,2,2,1,33600000,207637,RPTNMLTKJIOFFDA48CA,4,1,1,108,638883.0769230769,80.46153846153845,586.7692307692307,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25.018678,121.57072,0,0,2,0,2,0,0,0,0,0
28,臺北市信義區林口街121~150號,48.5,4.0,4,35,105.28,3,2,1,0,18000000,170973,RPOOMLTKJIOFFDA08CA,1,1,0,108,526070.7692307692,149.23076923076923,323.9384615384615,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.040029,121.5804555,0,20,19,9,5,6,4,1,1,0
29,臺北市信義區信義路六段76巷8弄1~30號,21.09,4.0,4,45,84.66,3,2,1,0,11500000,135837,RPQNMLKLJIOFFDA37CA,1,1,0,108,417960.0,64.8923076923077,260.4923076923077,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25.034301,121.576952,0,7,14,3,11,7,1,3,1,0
