,土地區段位置建物區段門牌,土地移轉總面積平方公尺,總樓層數,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,單價元平方公尺,編號,交易筆棟數-土地,交易筆棟數-建物,交易筆棟數-車位,交易年份,單價元/坪,土地移轉總面積坪,建物移轉總面積坪,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_套房(1房1廳1衛),建物型態_華廈(10層含以下有電梯),建物型態_透天厝,土地區段位置建物區段門牌經度,土地區段位置建物區段門牌緯度,周邊機能-機場,周邊機能-銀行,周邊機能-便利商店,周邊機能-醫院,周邊機能-公園,周邊機能-停車場,周邊機能-國小,周邊機能-國中,周邊機能-捷運,周邊機能-殯儀館
0,臺北市內湖區五分街91~120號,11.6,12.0,4,14,52.2,2,1,1,1,9960000,190805,RPURMLLKJIOFFCA08CA,1,1,0,108,587092.3076923076,35.69230769230769,160.6153846153846,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0673856,121.6158133,0,5,11,5,9,12,2,1,1,0
1,臺北市內湖區瑞光路132巷69弄1~30號,72.94,5.0,4,24,175.0,3,2,2,1,31680000,181029,RPUOMLMKJIOFFCA87CA,1,1,1,108,557012.3076923076,224.43076923076922,538.4615384615385,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,25.0715571,121.5786428,0,11,13,2,3,20,0,0,0,0
2,臺北市內湖區成功路五段450巷22弄1~30號,15.95,14.0,4,23,96.16999999999999,2,2,1,1,16800000,174691,RPVNMLNKJIOFFCA97CA,1,1,1,108,537510.7692307692,49.07692307692307,295.9076923076923,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0745607,121.6078861,0,12,11,13,7,11,2,0,1,0
3,臺北市內湖區星雲街16巷31~60號,23.24,5.0,4,37,89.72,3,2,2,0,13600000,151583,RPSNMLPKJIOFFCA87CA,1,1,0,108,466409.23076923075,71.5076923076923,276.0615384615385,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,25.077507,121.59164,0,5,7,2,1,5,1,5,0,0
4,臺北市內湖區康寧路三段165巷31~60號,27.54,5.0,4,35,103.06,3,2,1,0,8500000,82476,RPPOMLMLJIOFFCA47CA,1,1,1,108,253772.3076923077,84.73846153846154,317.10769230769233,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,25.0718486,121.6124955,0,4,11,2,9,8,5,1,0,0
5,臺北市內湖區康寧路三段70巷1~30號,17.77,4.0,4,13,109.59,2,2,1,1,23680000,216078,RPVNMLPLJIOFFCA28CA,3,1,2,108,664855.3846153846,54.676923076923075,337.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,25.0703255,121.6109895,0,4,12,1,8,9,4,3,2,0
6,臺北市內湖區民權東路六段123巷34弄1~30號,20.98,14.0,4,6,224.1,2,2,2,1,38800000,190192,RPWQMLPKJIOFFCA68DA,1,1,1,108,585206.1538461539,64.55384615384615,689.5384615384615,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0705382,121.5928762,0,7,12,20,6,12,0,0,0,3
7,臺北市內湖區大湖山莊街176巷1~30號,22.28,14.0,4,13,118.89,2,2,1,1,20800000,193058,RPVQMLKLJIOFFCA18DA,1,1,1,108,594024.6153846154,68.55384615384615,365.81538461538463,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,25.0878127,121.5993501,0,0,5,1,8,3,1,0,0,0
8,臺北市內湖區內湖路一段91巷39弄1~30號,22.84,5.0,4,36,113.53,4,2,2,0,12160000,107118,RPVTMLMKJIOFFCA58DA,3,1,0,108,329593.8461538461,70.27692307692307,349.32307692307694,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,25.088135,121.562236,0,0,6,0,10,11,1,2,0,0
9,臺北市內湖區舊宗路一段31~60號,17.93,5.0,4,18,70.47,0,1,2,1,15100000,214276,RPQOMLTKKIOFFCA28CA,1,1,1,108,659310.7692307692,55.169230769230765,216.83076923076922,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,25.0624547,121.5756531,0,4,6,0,3,19,0,0,0,0
