,土地區段位置建物區段門牌,土地移轉總面積平方公尺,總樓層數,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,單價元平方公尺,編號,交易筆棟數-土地,交易筆棟數-建物,交易筆棟數-車位,交易年份,單價元/坪,土地移轉總面積坪,建物移轉總面積坪,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_套房(1房1廳1衛),建物型態_華廈(10層含以下有電梯),建物型態_透天厝,土地區段位置建物區段門牌經度,土地區段位置建物區段門牌緯度,周邊機能-機場,周邊機能-銀行,周邊機能-便利商店,周邊機能-醫院,周邊機能-公園,周邊機能-停車場,周邊機能-國小,周邊機能-國中,周邊機能-捷運,周邊機能-殯儀館
0,臺北市南港區研究院路二段70巷47弄1~30號,26.78,9.0,4,35,130.53,4,2,2,1,20500000,157052,RPWPMLTKJIOFFDA09DA,1,1,0,108,483236.92307692306,82.4,401.6307692307692,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,25.0459056,121.6131263,0,0,6,0,9,8,0,0,0,0
1,臺北市南港區合順街8巷5弄31~60號,21.25,4.0,3,35,77.0,3,1,1,0,3900000,50649,RPQNMLPJKIOFFDA87DA,1,1,0,108,155843.0769230769,65.38461538461539,236.9230769230769,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,25.04224,121.619349,0,3,7,0,7,5,3,1,0,0
2,臺北市南港區經貿二路157巷36弄91~120號,47.47,21.0,4,7,287.86,3,2,2,1,59500000,206698,RPTOMLPKJIOFFDA18CA,1,1,1,108,635993.8461538461,146.06153846153845,885.723076923077,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,25.0619103,121.6150293,0,10,8,1,8,10,0,0,1,0
3,臺北市南港區重陽路125巷36弄1~30號,30.25,8.0,4,13,149.51999999999998,2,2,2,1,18400000,123060,RPTNMLKLJIOFFDA67CA,1,1,2,108,378646.1538461538,93.07692307692308,460.06153846153836,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,25.0578591,121.5970196,0,5,7,0,10,6,0,0,0,0
4,臺北市南港區成福路206巷1~30號,30.2,5.0,4,35,120.58,3,2,2,0,10000000,82932,RPWPMLNKJIOFFDA38CA,4,1,0,108,255175.3846153846,92.92307692307692,371.0153846153846,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,25.0402304,121.5885271,0,0,8,0,8,5,1,2,0,0
5,臺北市南港區三重路41巷31~60號,34.78,13.0,4,9,316.45000000000005,4,2,2,1,46200000,145995,RPTQMLOKJIOFFDA28CA,1,1,2,108,449215.3846153846,107.01538461538462,973.6923076923078,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,25.0602431,121.6128937,0,19,12,1,10,14,1,1,1,0
6,臺北市南港區中坡南路49巷1~30號,43.08,13.0,4,26,191.93,4,2,2,1,35700000,218752,RPPQMLPKJIOFFDA08DA,1,1,1,108,673083.0769230769,132.55384615384614,590.5538461538462,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,25.043061,121.5839653,0,11,17,18,7,20,4,2,1,1
7,臺北市南港區東明街78巷1~30號,29.84,4.0,4,35,90.39,3,2,1,0,14000000,154884,RPWNMLSLJIOFFDA88DA,1,1,0,108,476566.1538461538,91.81538461538462,278.1230769230769,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,25.054494,121.6023829,0,7,12,0,10,12,2,0,0,0
8,臺北市南港區忠孝東路六段70巷21弄1~30號,22.24,7.0,4,37,92.0,2,2,2,1,19650000,213587,RPOPMLSKJIOFFDA18DA,1,1,0,108,657190.7692307692,68.43076923076923,283.0769230769231,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,25.0464672,121.5851635,1,8,18,14,12,20,4,3,1,1
9,臺北市南港區東明街1~30號,33.74,15.0,4,12,224.14999999999998,4,2,2,1,39000000,231876,RPTNMLKMJIOFFDA87DA,1,1,2,108,713464.6153846154,103.81538461538462,689.6923076923076,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,25.0561546,121.6054516,0,7,14,0,8,11,2,1,1,0
10,臺北市南港區三重路79巷8弄1~30號,36.17,4.0,4,35,92.0,3,2,1,0,12000000,130435,RPWNMLMJKIOFFDA08CA,1,1,0,108,401338.4615384615,111.29230769230769,283.0769230769231,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,25.0607159,121.6134011,0,18,11,1,10,14,1,0,1,0
11,臺北市南港區南港路三段80巷1~30號,15.1,5.0,4,35,48.6,3,1,1,0,4460000,91770,RPRNMLPLJIOFFDA97CA,1,1,0,108,282369.23076923075,46.46153846153846,149.53846153846155,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,25.0549329,121.590844,0,2,8,1,4,10,1,1,0,0
12,臺北市南港區市民大道八段361~390號,18.26,10.0,4,31,137.0,2,2,2,1,26000000,189781,RPSQMLOKJIOFFDA18CA,1,1,0,108,583941.5384615385,56.184615384615384,421.53846153846155,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,25.0536334,121.6079797,0,4,11,1,9,12,0,0,1,0
13,臺北市南港區成福路209巷1~30號,30.98,5.0,4,35,93.51,3,2,2,0,12180000,130253,RPPNMLPKJIOFFDA67CA,2,1,0,108,400778.4615384615,95.32307692307693,287.7230769230769,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,25.039968,121.589267,0,0,8,0,9,5,1,0,0,0
14,臺北市南港區南港路三段121~150號,29.27,2.0,3,90,94.82,2,1,1,0,11389500,120117,RPTNMLPKJIOFFDA08CA,4,7,0,108,369590.7692307692,90.06153846153846,291.7538461538461,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,25.052869,121.587017,1,1,3,0,4,6,0,0,0,0
15,臺北市南港區南港路三段121~150號,29.27,2.0,3,90,94.82,2,1,1,0,11389500,120117,RPUNMLPKJIOFFDA18CA,4,7,0,108,369590.7692307692,90.06153846153846,291.7538461538461,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,25.052869,121.587017,1,1,3,0,4,6,0,0,0,0
16,臺北市南港區興中路28巷1~30號,7.01,25.0,4,9,81.98,1,2,1,1,20100000,245182,RPPOMLPKJIOFFDA77CA,1,1,0,108,754406.1538461539,21.569230769230767,252.24615384615385,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,25.0556804,121.6069957,0,6,11,1,9,12,3,1,1,0
17,臺北市南港區福德街331~360號,30.0,5.0,4,35,97.17,0,0,0,0,22700000,233611,RPVNMLKMJIOFFDA97CA,1,1,1,108,718803.0769230769,92.3076923076923,298.9846153846154,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,25.0393423,121.5882806,0,0,8,0,7,5,1,2,0,0
18,臺北市南港區松河街631~660號,37.28,4.0,4,35,100.81,3,1,1,0,10200000,101180,RPTQMLMLJIOFFDA28DA,2,1,0,108,311323.07692307694,114.70769230769231,310.18461538461537,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,25.0520533,121.5805522,0,6,14,4,11,15,2,0,1,0
19,臺北市南港區興南街31~60號,39.86,9.0,4,11,230.74,4,2,2,1,38800000,168155,RPVNMLTLJIOFFDA88DA,1,1,1,108,517400.0,122.64615384615384,709.9692307692308,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,25.0563583,121.601919,0,6,9,0,8,10,2,0,0,0
20,臺北市南港區研究院路一段31~60號,35.63,7.0,4,11,179.01,3,2,2,1,27780000,155187,RPRPMLTKJIOFFDA48CA,1,1,1,108,477498.4615384615,109.63076923076923,550.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,25.053728,121.616586,0,8,12,2,10,9,0,1,1,1
21,臺北市南港區園區街1~30號,41.36,7.0,4,12,205.0,4,2,2,1,40200000,196098,RPRNMLKLJIOFFDA47CA,1,1,1,108,603378.4615384615,127.26153846153845,630.7692307692307,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,25.0574254,121.6120483,0,20,11,2,9,14,1,1,1,0
22,臺北市南港區福德街391~420號,20.09,16.0,4,23,120.30000000000001,2,2,2,0,16180000,134497,RPSQMLQJKIOFFDA38CA,1,1,0,108,413836.92307692306,61.815384615384616,370.1538461538462,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,25.0407951,121.5917246,0,0,5,0,5,0,0,0,0,0
23,臺北市南港區園區街1~30號,26.01,15.0,4,10,171.36,3,2,2,1,32000000,229697,RPTPMLMLJIOFFDA18DA,1,1,1,108,706760.0,80.03076923076924,527.2615384615385,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,25.0574254,121.6120483,0,20,11,2,9,14,1,1,1,0
24,臺北市南港區南港路二段118巷8弄1~30號,47.08,5.0,4,30,157.25,3,2,2,0,20880000,132782,RPRQMLOJKIOFFDA18DA,8,1,2,108,408560.0,144.86153846153846,483.8461538461538,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,25.0540914,121.6013384,0,7,10,0,8,10,2,0,0,0
25,臺北市南港區研究院路二段61巷1~30號,34.33,18.0,4,8,251.65,4,2,2,1,33280000,132247,RPROMLNKKIOFFDA87CA,1,1,1,108,406913.8461538461,105.63076923076922,774.3076923076923,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,25.043975,121.6164974,0,2,9,0,11,10,3,1,0,0
26,臺北市南港區研究院路二段61巷1~30號,27.28,18.0,4,8,207.31,3,2,2,1,31580000,152332,RPTPMLLLJIOFFDA97CA,1,1,1,108,468713.8461538461,83.93846153846154,637.876923076923,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,25.043975,121.6164974,0,2,9,0,11,10,3,1,0,0
