,土地區段位置建物區段門牌,土地移轉總面積平方公尺,總樓層數,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,單價元平方公尺,編號,交易筆棟數-土地,交易筆棟數-建物,交易筆棟數-車位,交易年份,單價元/坪,土地移轉總面積坪,建物移轉總面積坪,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_套房(1房1廳1衛),建物型態_華廈(10層含以下有電梯),建物型態_透天厝,土地區段位置建物區段門牌經度,土地區段位置建物區段門牌緯度,周邊機能-機場,周邊機能-銀行,周邊機能-便利商店,周邊機能-醫院,周邊機能-公園,周邊機能-停車場,周邊機能-國小,周邊機能-國中,周邊機能-捷運,周邊機能-殯儀館
0,臺北市士林區中社路二段185巷2弄1~30號,94.12,4.0,4,45,102.92,4,2,2,0,11000000,106879,RPPOMLMKJIOFFEA57CA,1,1,0,108,328858.4615384615,289.6,316.67692307692306,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.107395,121.569957,0,0,0,0,3,0,1,0,0,0
1,臺北市士林區德行東路301~330號,33.24,5.0,4,39,114.1,3,2,2,0,15500000,135846,RPXNMLNKJIOFFEA38CA,1,1,0,108,417987.6923076923,102.27692307692308,351.07692307692304,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.1102956,121.5368425,0,0,5,1,0,4,1,0,0,0
2,臺北市士林區承德路四段10巷31~60號,30.75,4.0,3,35,83.48,2,1,1,0,17800000,213225,RPWOMLNKJIOFFEA38CA,1,1,0,108,656076.923076923,94.61538461538461,256.8615384615385,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.080156,121.5204113,0,3,10,2,9,13,1,0,0,0
3,臺北市士林區天母西路1~30號,16.36,11.0,4,43,106.65,1,2,1,1,16200000,151899,RPRSMLPKJIOFFEA58DA,2,1,0,108,467381.53846153844,50.33846153846154,328.15384615384613,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,25.118582,121.5295118,0,11,13,3,2,15,2,2,0,0
4,臺北市士林區中山北路五段721~750號,25.19,5.0,4,38,101.9,4,2,2,0,13500000,132483,RPVOMLKLJIOFFEA08CA,1,1,0,108,407640.0,77.50769230769231,313.53846153846155,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.0981527,121.5269616,0,9,15,3,8,4,1,1,0,0
5,臺北市士林區延平北路八段80巷53弄1~30號,26.0,3.0,3,51,77.0,0,0,0,0,6700000,87013,RPXNMLQLJIOFFEA78CA,1,1,0,108,267732.3076923077,80.0,236.9230769230769,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.1064299,121.4858757,0,1,0,0,0,1,1,1,0,0
6,臺北市士林區福華路1~30號,16.07,9.0,4,3,141.60000000000002,3,2,2,1,29000000,260116,RPXPMLTLJIOFFEA66CA,1,1,1,108,800356.923076923,49.44615384615385,435.69230769230774,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25.1023594,121.5222469,0,10,8,1,12,14,1,0,1,0
7,臺北市士林區中山北路七段35巷1~30號,26.88,7.0,4,37,125.45,3,2,2,1,20300000,161817,RPOOMLNKJIOFFEA57CA,1,1,0,108,497898.4615384615,82.7076923076923,386.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25.1194973,121.5307319,0,14,11,2,5,13,2,2,0,0
8,臺北市士林區小北街1~30號,13.11,9.0,4,2,61.05,1,1,1,1,16400000,275823,RPQOMLNKJIOFFEA77CA,1,1,1,108,848686.1538461539,40.33846153846154,187.84615384615384,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,25.0902442,121.5266978,0,6,15,1,7,19,1,1,1,0
9,臺北市士林區中山北路六段195巷1~30號,31.88,14.0,4,13,179.38,3,2,2,1,44500000,248077,RPWNMLNKJIOFFEA28CA,1,1,1,108,763313.8461538461,98.09230769230768,551.9384615384615,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,25.1077543,121.5246319,0,15,13,2,11,13,1,0,0,0
10,臺北市士林區社子街84巷1~30號,25.75,4.0,4,45,78.67,3,2,1,0,8500000,108046,RPQPMLMKJIOFFEA77CA,1,1,0,108,332449.23076923075,79.23076923076923,242.06153846153845,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.0871876,121.506447,0,9,14,3,5,11,1,0,0,0
11,臺北市士林區至誠路二段31~60號,33.03,5.0,4,39,107.69,3,2,2,0,22880000,212462,RPWNMLOKJIOFFEA38CA,1,1,0,108,653729.2307692308,101.63076923076923,331.3538461538461,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.1017758,121.5292749,0,6,6,20,12,6,2,0,0,1
12,臺北市士林區社中街298巷4弄1~30號,30.0,4.0,4,43,81.66,3,2,1,0,8680000,106294,RPXNMLOKJIOFFEA48CA,1,1,0,108,327058.4615384615,92.3076923076923,251.26153846153844,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.092753,121.506727,0,3,6,2,5,10,1,0,0,0
13,臺北市士林區中山北路六段450巷1~30號,45.43,4.0,4,44,114.74,3,2,2,0,15800000,137703,RPPNMLPKJIOFFEA77CA,2,1,0,108,423701.53846153844,139.7846153846154,353.0461538461538,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.1142317,121.5276519,0,13,13,5,5,11,4,0,0,0
14,臺北市士林區忠誠路二段21巷69弄1~30號,22.5,4.0,4,48,47.99,3,1,1,0,9000000,187539,RPWNMLQLJIOFFEA68CA,1,1,0,108,577043.0769230769,69.23076923076923,147.66153846153847,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.1102257,121.5338058,0,4,11,1,5,10,1,1,0,0
15,臺北市士林區雨聲街31~60號,29.4,4.0,4,43,78.05,3,2,1,0,10000000,128123,RPWOMLKLJIOFFEA18CA,1,1,0,108,394224.6153846154,90.46153846153845,240.15384615384613,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.1021103,121.5287688,0,7,5,20,13,9,2,0,0,1
16,臺北市士林區承德路四段2巷1~30號,27.94,5.0,4,35,117.81,3,2,2,0,13700000,116289,RPSOMLOKJIOFFEA18DA,1,1,0,108,357812.3076923077,85.96923076923078,362.4923076923077,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.0789293,121.5210368,0,2,9,2,8,9,1,2,0,0
17,臺北市士林區忠誠路二段148巷1~30號,20.09,5.0,4,40,92.21000000000001,3,2,2,0,14680000,159202,RPTOMLOKJIOFFEA28DA,1,1,0,108,489852.3076923077,61.815384615384616,283.7230769230769,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.1146796,121.5323813,0,8,12,1,4,8,2,1,0,0
18,臺北市士林區文林路541~570號,20.38,15.0,4,5,174.38,3,2,2,1,32600000,213094,RPQNMLQKJIOFFEA97CA,1,1,1,108,655673.8461538461,62.707692307692305,536.5538461538462,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,25.0973243,121.5238466,0,16,20,20,3,12,2,2,1,0
19,臺北市士林區天玉街31~60號,23.59,7.0,4,38,116.11,3,2,2,1,23680000,203945,RPPNMLKLJIOFFEA37CA,1,1,0,108,627523.0769230769,72.58461538461538,357.26153846153846,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25.1213909,121.5288354,0,11,11,3,8,15,2,2,0,0
20,臺北市士林區德行東路109巷17弄1~30號,27.0,5.0,4,43,126.31,3,2,2,0,17850000,141319,RPOPMLSLJIOFFEA28CA,1,1,0,108,434827.6923076923,83.07692307692308,388.6461538461538,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25.1082616,121.5279506,0,20,19,2,6,20,3,1,0,0
