,土地區段位置建物區段門牌,土地移轉總面積平方公尺,總樓層數,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,單價元平方公尺,編號,交易筆棟數-土地,交易筆棟數-建物,交易筆棟數-車位,交易年份,單價元/坪,土地移轉總面積坪,建物移轉總面積坪,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_套房(1房1廳1衛),建物型態_華廈(10層含以下有電梯),建物型態_透天厝,土地區段位置建物區段門牌經度,土地區段位置建物區段門牌緯度,周邊機能-機場,周邊機能-銀行,周邊機能-便利商店,周邊機能-醫院,周邊機能-公園,周邊機能-停車場,周邊機能-國小,周邊機能-國中,周邊機能-捷運,周邊機能-殯儀館
0,臺北市大同區庫倫街31~60號,24.7,10.0,4,27,159.28,3,2,2,0,25880000,162481,RPVOMLLKJIOFFBA77CA,2,1,0,108,499941.53846153844,76.0,490.09230769230766,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,25.0720319,121.5178353,0,8,14,3,8,8,1,3,1,0
1,臺北市大同區承德路三段61~90號,14.62,11.0,4,23,94.12,2,2,1,1,18700000,198683,RPROMLMKJIOFFBA47CA,2,1,0,108,611332.3076923076,44.98461538461538,289.6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,25.0653576,121.5185722,0,17,20,12,8,20,2,4,1,0
2,臺北市大同區天水路31~60號,18.33,6.0,4,49,86.98,0,0,0,1,13000000,149460,RPQNMLPKJIOFFBA57CA,2,1,0,108,459876.92307692306,56.39999999999999,267.63076923076926,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,25.053188,121.513399,0,20,20,15,4,18,2,0,0,0
3,臺北市大同區迪化街二段241~270號,21.5,4.0,4,48,79.59,3,1,1,0,7830000,98379,RPUNMLOKJIOFFBA97DA,1,1,0,108,302704.6153846154,66.15384615384615,244.8923076923077,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,25.0715671,121.5121194,0,8,13,2,6,8,1,1,0,0
4,臺北市大同區大龍街91~120號,10.18,5.0,4,35,36.61,2,0,1,0,4900000,133843,RPVNMLOKJIOFFBA97CA,1,1,0,108,411824.6153846154,31.323076923076922,112.64615384615384,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,25.0671363,121.5160735,0,12,12,8,10,12,5,3,0,0
5,臺北市大同區天水路1~30號,5.39,11.0,4,35,62.14,1,1,1,1,7500000,120695,RPSNMLKMJIOFFBA57DA,9,1,0,108,371369.23076923075,16.584615384615383,191.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,25.0536399,121.514046,0,20,20,8,7,14,2,1,0,0
6,臺北市大同區敦煌路24巷1~30號,9.76,9.0,4,2,47.260000000000005,1,1,1,1,10170000,215193,RPQNMLPJKIOFFBA57CA,1,1,0,108,662132.3076923076,30.03076923076923,145.41538461538462,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,25.075143,121.5195366,0,1,7,1,9,10,1,2,1,0
7,臺北市大同區敦煌路24巷1~30號,19.56,9.0,4,2,94.69999999999999,2,2,1,1,19500000,205913,RPRNMLPJKIOFFBA67CA,1,1,0,108,633578.4615384615,60.18461538461538,291.38461538461536,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,25.075143,121.5195366,0,1,7,1,9,10,1,2,1,0
8,臺北市大同區敦煌路24巷1~30號,9.76,9.0,4,2,47.260000000000005,1,1,1,1,10280000,217520,RPSNMLPJKIOFFBA77CA,1,1,0,108,669292.3076923076,30.03076923076923,145.41538461538462,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,25.075143,121.5195366,0,1,7,1,9,10,1,2,1,0
9,臺北市大同區敦煌路24巷1~30號,9.76,9.0,4,2,47.260000000000005,1,1,1,1,10110000,213923,RPTNMLPJKIOFFBA87CA,1,1,0,108,658224.6153846154,30.03076923076923,145.41538461538462,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,25.075143,121.5195366,0,1,7,1,9,10,1,2,1,0
