,土地區段位置建物區段門牌,土地移轉總面積平方公尺,總樓層數,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,單價元平方公尺,編號,交易筆棟數-土地,交易筆棟數-建物,交易筆棟數-車位,交易年份,單價元/坪,土地移轉總面積坪,建物移轉總面積坪,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_套房(1房1廳1衛),建物型態_華廈(10層含以下有電梯),建物型態_透天厝,土地區段位置建物區段門牌經度,土地區段位置建物區段門牌緯度,周邊機能-機場,周邊機能-銀行,周邊機能-便利商店,周邊機能-醫院,周邊機能-公園,周邊機能-停車場,周邊機能-國小,周邊機能-國中,周邊機能-捷運,周邊機能-殯儀館
0,臺北市大安區永康街23巷1~30號,25.38,5.0,4,30,115.37,3,2,1,0,31600000,273901,RPQOMLLKJIOFFFA67CA,1,1,0,108,842772.3076923076,78.09230769230768,354.9846153846154,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,25.0320009,121.530393,0,20,15,10,11,20,3,2,1,0
1,臺北市大安區仁愛路三段123巷11弄1~30號,50.0,4.0,3,35,138.81,4,2,2,0,34500000,248541,RPUNMLMKJIOFFFA08CA,1,1,0,108,764741.5384615384,153.84615384615384,427.1076923076923,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,25.0395486,121.5421789,0,18,20,20,10,20,0,2,2,0
2,臺北市大安區信義路三段91~120號,3.31,14.0,4,14,38.94,0,0,0,1,14000000,359527,RPPOMLOKJIOFFFA87CA,2,1,0,108,1106236.923076923,10.184615384615384,119.8153846153846,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,25.033877,121.533515,0,17,11,8,13,20,4,2,2,0
3,臺北市大安區富陽街151~180號,11.75,12.0,4,16,54.38,1,1,1,1,12880000,236852,RPVOMLSKJIOFFFA88CA,1,1,0,108,728775.3846153846,36.15384615384615,167.3230769230769,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,25.0181625,121.5570276,1,3,12,1,8,0,0,0,1,0
4,臺北市大安區通化街39巷49弄1~30號,31.5,3.0,4,23,61.78,0,0,0,0,14700000,237941,RPQNMLRLJIOFFFA28CA,1,1,0,108,732126.1538461539,96.92307692307692,190.09230769230768,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,25.0308498,121.5555506,0,20,20,9,5,20,2,1,1,0
5,臺北市大安區延吉街70巷2弄1~30號,24.0,4.0,4,50,80.57,3,2,1,0,15700000,194862,RPPOMLRLJIOFFFA28CA,1,1,0,108,599575.3846153846,73.84615384615384,247.9076923076923,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,25.0426245,121.553729,0,20,20,20,2,20,0,3,2,0
6,臺北市大安區安和路二段61~90號,7.13,9.0,4,25,38.620000000000005,1,1,1,1,10300000,266701,RPOOMLPKJIOFFFA97DA,2,1,0,108,820618.4615384615,21.93846153846154,118.83076923076923,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,25.0308286,121.5526743,0,20,20,12,8,20,1,1,1,1
7,臺北市大安區仁愛路四段391~420號,20.57,14.0,4,35,185.77,3,2,2,1,51000000,274533,RPOPMLKLJIOFFFA67DA,1,1,0,108,844716.923076923,63.29230769230769,571.6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,25.0381238,121.5552638,0,20,20,20,6,20,3,5,1,0
8,臺北市大安區羅斯福路二段77巷1~30號,32.95,5.0,4,40,116.56,3,2,2,0,23200000,199039,RPXOMLTKJIOFFFA56CA,1,1,0,108,612427.6923076923,101.38461538461539,358.6461538461538,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,25.026419,121.523691,0,20,13,10,9,19,3,5,1,1
9,臺北市大安區師大路59巷1~30號,24.8,5.0,4,34,94.94,3,2,2,0,18800000,198020,RPROMLTKJIOFFFA58CA,1,1,0,108,609292.3076923076,76.3076923076923,292.1230769230769,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,25.024019,121.528747,0,19,15,6,20,20,3,3,1,1
10,臺北市大安區永康街37巷1~30號,15.81,5.0,4,9,78.31,2,1,1,1,25100000,320521,RPOPMLLLJIOFFFA67CA,1,1,1,108,986218.4615384615,48.646153846153844,240.95384615384614,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,25.03084,121.529927,0,20,14,8,11,20,3,2,1,0
11,臺北市大安區建國南路一段175巷1~30號,19.58,14.0,4,34,107.72,3,2,2,1,23580000,218901,RPRNMLNKJIOFFFA87CA,2,1,0,108,673541.5384615384,60.24615384615384,331.44615384615383,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,25.0409313,121.5381322,0,5,15,5,7,16,0,1,0,0
12,臺北市大安區基隆路二段181~210號,28.87,12.0,4,33,94.15,2,2,1,1,22000000,233670,RPXNMLLKKIOFFFA38CA,2,1,0,108,718984.6153846154,88.83076923076923,289.6923076923077,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,25.0249794,121.5534734,2,19,20,3,9,15,0,0,1,0
13,臺北市大安區和平東路二段175巷31~60號,20.02,7.0,4,36,105.13,3,2,2,0,28900000,274898,RPROMLPJKIOFFFA18CA,1,1,0,108,845840.0,61.599999999999994,323.4769230769231,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,25.0267439,121.5419937,0,7,15,6,11,19,2,2,1,0
14,臺北市大安區仁愛路四段391~420號,15.78,14.0,4,39,128.91,3,2,2,1,35000000,271507,RPUNMLQJKIOFFFA48CA,1,1,0,108,835406.1538461539,48.55384615384615,396.6461538461538,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,25.0381238,121.5552638,0,20,20,20,6,20,3,5,1,0
15,臺北市大安區龍泉街1~30號,42.25,4.0,4,35,106.08,3,2,2,0,15705750,148056,RPOOMLKMKIOFFFA67CA,1,1,0,108,455556.92307692306,130.0,326.4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,25.0233324,121.5292634,0,18,16,6,20,20,4,3,1,0
16,臺北市大安區忠孝東路四段181巷35弄1~30號,36.92,5.0,4,34,138.13,4,2,2,1,27300000,197640,RPVNMLOKJIOFFFA38CA,1,1,0,108,608123.0769230769,113.6,425.01538461538456,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,25.0440407,121.5508805,0,20,20,20,4,20,0,2,1,1
17,臺北市大安區敦化南路二段31~60號,5.81,16.0,4,35,54.300000000000004,1,1,1,1,15000000,276243,RPSNMLKLJIOFFFA77CA,1,1,0,108,849978.4615384615,17.876923076923074,167.0769230769231,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,25.0322761,121.5491635,0,20,20,15,6,20,4,4,1,1
18,臺北市大安區潮州街91~120號,15.83,5.0,4,50,64.3,3,2,1,0,17200000,267496,RPPNMLPLJIOFFFA08DA,1,1,0,108,823064.6153846154,48.707692307692305,197.84615384615384,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,25.028923,121.526718,0,16,14,4,13,20,3,2,1,1
19,臺北市大安區新生南路一段161巷31~60號,48.0,4.0,4,53,136.98,5,2,2,0,33360000,243539,RPTOMLQLJIOFFFA68DA,1,1,0,108,749350.7692307692,147.69230769230768,421.476923076923,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,25.0346635,121.5363889,0,17,10,5,9,9,2,2,1,0
20,臺北市大安區通化街39巷50弄1~30號,24.5,4.0,4,35,77.44,2,2,2,0,18300000,236312,RPXOMLQLJIOFFFA09DA,1,2,0,108,727113.8461538461,75.38461538461539,238.27692307692305,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,25.0307338,121.5555462,0,20,20,9,6,20,2,1,1,0
