,土地區段位置建物區段門牌,土地移轉總面積平方公尺,總樓層數,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,單價元平方公尺,編號,交易筆棟數-土地,交易筆棟數-建物,交易筆棟數-車位,交易年份,單價元/坪,土地移轉總面積坪,建物移轉總面積坪,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_套房(1房1廳1衛),建物型態_華廈(10層含以下有電梯),建物型態_透天厝,土地區段位置建物區段門牌經度,土地區段位置建物區段門牌緯度,周邊機能-機場,周邊機能-銀行,周邊機能-便利商店,周邊機能-醫院,周邊機能-公園,周邊機能-停車場,周邊機能-國小,周邊機能-國中,周邊機能-捷運,周邊機能-殯儀館
0,臺北市文山區木新路三段211~240號,40.75,4.0,4,35,109.36,4,0,4,0,11850000,108358,RPWOMLMKJIOFFAA87CA,1,1,0,108,333409.23076923075,125.38461538461539,336.4923076923077,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,24.9813749,121.5597134,0,4,14,3,10,3,2,2,0,0
1,臺北市文山區福興路78巷20弄31~60號,33.81,5.0,4,41,109.42,3,2,2,0,10000000,91391,RPRNMLNKJIOFFAA37CA,2,1,0,108,281203.07692307694,104.03076923076924,336.67692307692306,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,25.004799,121.5513586,0,3,7,1,3,5,2,1,0,0
2,臺北市文山區忠順街一段10巷1~30號,32.19,11.0,4,26,163.53,3,2,2,1,21000000,128417,RPVNMLNKJIOFFAA77CA,1,1,1,108,395129.23076923075,99.04615384615384,503.16923076923075,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,24.9836714,121.5584352,0,3,16,3,11,10,2,2,0,0
3,臺北市文山區萬壽路25巷1~30號,60.25,10.0,4,2,204.79,3,2,3,1,67203400,328158,RPUOMLOKJIOFFAA87CA,1,1,0,108,1009716.923076923,185.3846153846154,630.1230769230768,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,24.988972,121.5761242,0,1,12,0,1,2,1,1,0,0
4,臺北市文山區萬壽路25巷1~30號,16.99,10.0,4,2,80.31,3,2,2,1,11100000,162966,RPQOMLPKJIOFFAA57CA,1,1,1,108,501433.8461538461,52.27692307692307,247.1076923076923,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,24.988972,121.5761242,0,1,12,0,1,2,1,1,0,0
5,臺北市文山區興隆路三段185巷7弄1~30號,25.98,5.0,4,38,86.72999999999999,3,2,2,0,8000000,92240,RPPOMLPJKIOFFAA47CA,7,1,0,108,283815.3846153846,79.93846153846154,266.86153846153843,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,24.9956031,121.5614788,0,0,4,1,2,4,1,0,0,0
6,臺北市文山區福興路78巷20弄61~90號,36.33,5.0,4,32,109.0,3,2,2,1,12800000,117431,RPTNMLOKJIOFFAA77DA,1,1,0,108,361326.1538461538,111.78461538461538,335.38461538461536,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,25.005353,121.551722,0,1,4,0,3,3,2,1,0,0
7,臺北市文山區政大三街31~60號,86.54,5.0,4,12,236.26,3,2,2,1,34000000,159689,RPPNMLPLJIOFFAA57DA,1,1,1,108,491350.7692307692,266.2769230769231,726.9538461538461,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,24.9859279,121.5816436,0,0,5,0,4,4,1,2,0,0
8,臺北市文山區興隆路二段203巷91~120號,18.93,11.0,4,24,78.03999999999999,2,2,1,1,11800000,151205,RPQNMLPLJIOFFAA67DA,1,1,0,108,465246.1538461538,58.246153846153845,240.1230769230769,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,25.002524,121.5468067,0,5,11,0,8,10,2,2,0,0
9,臺北市文山區景華街150巷1~30號,20.48,7.0,4,14,109.3,2,2,1,1,18000000,162338,RPOOMLQLJIOFFAA67DA,1,1,1,108,499501.53846153844,63.01538461538461,336.30769230769226,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,24.996229,121.5479639,0,2,7,2,8,6,4,4,0,0
