,土地區段位置建物區段門牌,土地移轉總面積平方公尺,總樓層數,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,單價元平方公尺,編號,交易筆棟數-土地,交易筆棟數-建物,交易筆棟數-車位,交易年份,單價元/坪,土地移轉總面積坪,建物移轉總面積坪,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_套房(1房1廳1衛),建物型態_華廈(10層含以下有電梯),建物型態_透天厝,土地區段位置建物區段門牌經度,土地區段位置建物區段門牌緯度,周邊機能-機場,周邊機能-銀行,周邊機能-便利商店,周邊機能-醫院,周邊機能-公園,周邊機能-停車場,周邊機能-國小,周邊機能-國中,周邊機能-捷運,周邊機能-殯儀館
0,臺北市松山區南京東路五段286巷1~30號,14.43,6.0,4,45,61.92,2,2,1,1,13000000,209948,RPQNMLMKJIOFFDA47CA,1,1,0,108,645993.8461538461,44.4,190.52307692307693,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,25.0505564,121.5672839,1,15,17,6,7,19,1,0,1,0
1,臺北市松山區光復北路230巷1~30號,29.77,18.0,4,19,138.06,3,2,2,1,26200000,189773,RPTNMLMKJIOFFDA77CA,3,1,0,108,583916.923076923,91.6,424.8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,25.055985,121.5552,0,10,14,14,15,11,4,2,0,0
2,臺北市松山區三民路74巷1~30號,27.93,7.0,4,29,118.24000000000001,3,2,2,1,23200000,196211,RPPOMLMKJIOFFDA47CA,1,1,0,108,603726.1538461539,85.93846153846154,363.81538461538463,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,25.0558706,121.5639597,0,16,19,4,7,5,3,1,1,0
3,臺北市松山區寶清街91~120號,17.48,13.0,4,4,132.93,2,2,2,1,27500000,236122,RPOQMLMLJIOFFDA77DA,1,1,1,108,726529.2307692308,53.784615384615385,409.0153846153846,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,25.0524518,121.5681505,1,12,16,5,11,15,0,1,1,0
4,臺北市松山區南京東路五段211~240號,3.64,18.0,4,12,45.22,1,1,1,1,10400000,229987,RPTQMLRLJIOFFDA68CA,1,1,0,108,707652.3076923076,11.2,139.13846153846154,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,25.05189,121.5578,0,20,20,20,8,20,3,2,0,0
5,臺北市松山區塔悠路1~30號,4.03,5.0,4,41,95.52,2,2,2,0,2010000,21043,RPPNMLPLJIOFFDA77CA,2,1,0,108,64747.692307692305,12.4,293.9076923076923,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,25.0496798,121.571869,0,13,10,1,7,11,2,1,0,2
6,臺北市松山區八德路二段410巷91~120號,31.67,6.0,4,34,141.97,4,2,2,0,29000000,204269,RPUQMLOKJIOFFDA38CA,1,1,0,108,628520.0,97.44615384615385,436.8307692307692,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,25.0457955,121.5467188,0,20,20,19,9,20,3,1,1,1
7,臺北市松山區復興北路499巷1~30號,41.0,4.0,4,49,118.42,3,2,1,0,18000000,152001,RPWOMLPKJIOFFDA48CA,1,1,0,108,467695.3846153846,126.15384615384615,364.36923076923074,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,25.0655049,121.544876,0,12,12,1,1,3,1,1,0,0
8,臺北市松山區敦化北路331~360號,33.0,12.0,4,38,255.97,4,3,2,1,69800000,272688,RPRQMLNKJIOFFDA97CA,1,2,0,108,839040.0,101.53846153846153,787.6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,25.059274,121.550263,1,20,17,12,15,20,2,1,2,0
9,臺北市松山區八德路二段421~450號,11.84,12.0,4,40,114.75999999999999,1,2,1,1,21000000,182991,RPPNMLQKJIOFFDA77CA,1,1,0,108,563049.2307692308,36.43076923076923,353.1076923076923,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,25.048354,121.5463124,0,20,20,9,7,20,2,2,1,0
