,土地區段位置建物區段門牌,土地移轉總面積平方公尺,總樓層數,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,單價元平方公尺,編號,交易筆棟數-土地,交易筆棟數-建物,交易筆棟數-車位,交易年份,單價元/坪,土地移轉總面積坪,建物移轉總面積坪,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_套房(1房1廳1衛),建物型態_華廈(10層含以下有電梯),建物型態_透天厝,土地區段位置建物區段門牌經度,土地區段位置建物區段門牌緯度,周邊機能-機場,周邊機能-銀行,周邊機能-便利商店,周邊機能-醫院,周邊機能-公園,周邊機能-停車場,周邊機能-國小,周邊機能-國中,周邊機能-捷運,周邊機能-殯儀館
0,臺北市萬華區西園路二段281巷1~30號,36.75,4.0,4,48,92.02,3,2,2,0,11000000,119539,RPRNMLMKJIOFFBA37CA,1,1,0,108,367812.3076923077,113.07692307692307,283.1384615384615,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,25.0244484,121.4921649,0,6,15,6,7,1,0,1,0,0
1,臺北市萬華區萬大路424巷1~30號,30.42,5.0,4,37,106.7,0,1,1,0,21000000,196813,RPTOMLMKJIOFFBA67CA,3,1,0,108,605578.4615384615,93.60000000000001,328.3076923076923,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,25.0213914,121.4952221,0,6,17,3,6,0,4,0,0,0
2,臺北市萬華區內江街61~90號,17.94,14.0,4,4,272.04999999999995,4,2,1,1,51200000,220925,RPTNMLSKJIOFFBA18CA,1,1,2,108,679769.2307692308,55.2,837.0769230769229,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,25.041649,121.505027,0,20,20,20,4,20,2,0,1,0
3,臺北市萬華區萬大路423巷32弄1~30號,36.96,13.0,4,23,162.23000000000002,3,2,2,1,18300000,112803,RPQOMLSKJIOFFBA97CA,1,1,1,108,347086.1538461538,113.72307692307692,499.1692307692308,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,25.021013,121.5004389,0,5,16,2,7,5,5,0,0,0
4,臺北市萬華區昆明街151~180號,22.71,7.0,4,49,101.45,3,2,1,0,14000000,137999,RPWPMLLLJIOFFBA08CA,3,1,0,108,424612.3076923077,69.87692307692308,312.15384615384613,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,25.0465851,121.50595,0,8,20,4,5,20,2,0,0,1
5,臺北市萬華區成都路121~150號,9.71,15.0,4,6,154.9,2,2,2,1,28000000,180762,RPQOMLPLJIOFFBA77CA,1,1,1,108,556190.7692307692,29.876923076923077,476.61538461538464,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,25.043426,121.503856,0,16,20,20,7,20,1,0,1,0
6,臺北市萬華區中華路二段364巷1~30號,53.48,14.0,4,8,206.69,4,2,2,1,13000000,62896,RPXNMLSLJIOFFBA78DA,1,1,1,103,193526.15384615384,164.55384615384614,635.9692307692308,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,25.0287765,121.5044408,0,4,14,1,1,4,2,0,0,0
7,臺北市萬華區長泰街73巷1~30號,26.0,4.0,4,44,78.65,1,0,1,0,8230000,104641,RPPPMLQLJIOFFBA97DA,1,1,0,108,321972.3076923077,80.0,242.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,25.0226625,121.4999596,0,5,20,3,5,4,6,0,0,0
8,臺北市萬華區昆明街91~120號,0.4,14.0,4,18,34.18,1,1,1,1,4900000,143359,RPWOMLSKJIOFFBA58CA,1,1,0,108,441104.6153846154,1.2307692307692308,105.16923076923077,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,25.0425483,121.5048969,0,18,20,20,4,20,1,0,1,0
9,臺北市萬華區西園路一段91~120號,9.68,12.0,4,2,124.80000000000001,2,2,1,0,16000000,161383,RPPNMLNKJIOFFBA27CA,1,1,1,108,496563.0769230769,29.784615384615382,384.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,25.038799,121.4999285,0,10,20,20,13,14,1,0,1,3
